sku,name,cost,wholesale_price,msrp,is_discontinued,qty_zoey,qty_shopify,on_hand,units_4w,units_13w,units_52w,rev_zoey_30d,rev_shopify_30d,rev_zoey_7d,rev_shopify_7d,rev_total_30d,rev_total_7d,daily_vel_4w,daily_vel_13w,daily_vel,days_cover,months_cover,lead_time_days,target_units,suggested_order_qty,reorder_flag,overstock_flag,inventory_value,excess_inv_value,blended_price,gp_per_sku
OCFJ38BBA,Cage Fighter Jig 3/8oz Blk/Brown Amber,3.2,4.92,8.99,False,0.0,0.0,0.0,0.0,12.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13186813186813187,0.13186813186813187,0.0,0.0,180,26.0,26.0,True,False,0.0,0.0,6.14,0.0
OCFJ38MP,Cage Fighter Jig 3/8oz Mud Puppy,3.2,4.92,8.99,False,0.0,0.0,0.0,0.0,5.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054945054945054944,0.054945054945054944,0.0,0.0,180,11.0,11.0,True,False,0.0,0.0,6.14,0.0
OCFJ58BM,Cage Fighter Jig 5/8oz Bream,3.2,4.92,8.99,False,0.0,0.0,0.0,4.0,9.0,42.0,0.0,39.96,0.0,9.99,39.96,9.99,0.14285714285714285,0.0989010989010989,0.0989010989010989,0.0,0.0,180,20.0,20.0,True,False,0.0,0.0,6.14,0.0
OJJ38SF,Juice Jig 3/8oz Sunfish,1.96,3.47,5.99,False,0.0,0.0,0.0,0.0,43.0,227.0,0.0,5.99,0.0,0.0,5.99,0.0,0.0,0.4725274725274725,0.4725274725274725,0.0,0.0,180,95.0,95.0,True,False,0.0,0.0,4.23,0.0
OJJ12BS,Juice Jig 1/2oz Bruise,1.96,3.47,5.99,False,0.0,0.0,0.0,16.0,67.0,196.0,19.74,59.9,0.0,0.0,79.64,0.0,0.5714285714285714,0.7362637362637363,0.7362637362637363,0.0,0.0,180,147.0,147.0,True,False,0.0,0.0,4.23,0.0
OSFJ38BBA,Stealth Fighter Jig 3/8oz Blk/Brown Amber,3.2,4.92,8.99,False,0.0,0.0,0.0,6.0,22.0,45.0,0.0,59.94,0.0,49.95,59.94,49.95,0.21428571428571427,0.24175824175824176,0.24175824175824176,0.0,0.0,180,48.0,48.0,True,False,0.0,0.0,6.14,0.0
OSFJ38BM,Stealth Fighter Jig 3/8oz Bream,3.2,4.92,8.99,False,0.0,0.0,0.0,0.0,15.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16483516483516483,0.16483516483516483,0.0,0.0,180,33.0,33.0,True,False,0.0,0.0,6.14,0.0
OSFJ58BM,Stealth Fighter Jig 5/8oz Bream,3.2,4.92,8.99,False,0.0,0.0,0.0,4.0,10.0,54.0,0.0,49.95,0.0,0.0,49.95,0.0,0.14285714285714285,0.10989010989010989,0.10989010989010989,0.0,0.0,180,22.0,22.0,True,False,0.0,0.0,6.14,0.0
OSFJ58MC,Stealth Fighter Jig 5/8oz Money Craw,3.2,4.92,8.99,False,0.0,0.0,0.0,0.0,100.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098901098901099,1.098901098901099,0.0,0.0,180,220.0,220.0,True,False,0.0,0.0,6.14,0.0
OSFJ34BM,Stealth Fighter Jig 3/4oz Bream,3.2,4.92,8.99,False,0.0,0.0,0.0,0.0,7.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,180,15.0,15.0,True,False,0.0,0.0,6.14,0.0
OSFJ38DP,Stealth Fighter Jig 3/8oz Ditch Pickle,3.2,4.67,8.99,False,0.0,0.0,0.0,0.0,10.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10989010989010989,0.10989010989010989,0.0,0.0,180,22.0,22.0,True,False,0.0,0.0,5.97,0.0
OSFJ38T,Stealth Fighter Jig 3/8oz Tilapia,3.2,4.67,8.99,False,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27472527472527475,0.27472527472527475,0.0,0.0,180,55.0,55.0,True,False,0.0,0.0,5.97,0.0
OSFJ38GPC,Stealth Fighter Jig 3/8oz Green Pumpkin Craw,3.2,4.67,8.99,False,0.0,0.0,0.0,0.0,9.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0989010989010989,0.0989010989010989,0.0,0.0,180,20.0,20.0,True,False,0.0,0.0,5.97,0.0
OSFJ12T,Stealth Fighter Jig 1/2oz Tilapia,3.2,4.67,8.99,False,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27472527472527475,0.27472527472527475,0.0,0.0,180,55.0,55.0,True,False,0.0,0.0,5.97,0.0
OJPJ38BG,JackPot Jig 3/8oz Bluegill,3.21,5.21,8.99,False,0.0,0.0,0.0,0.0,118.0,257.0,0.0,8.99,0.0,0.0,8.99,0.0,0.0,1.2967032967032968,1.2967032967032968,0.0,0.0,180,259.0,259.0,True,False,0.0,0.0,6.34,0.0
OJPJ38BBP,JackPot Jig 3/8oz Black/Blue/Purple,3.21,5.21,8.99,False,0.0,0.0,0.0,10.0,127.0,241.0,0.0,98.89,0.0,35.96,98.89,35.96,0.35714285714285715,1.3956043956043955,1.3956043956043955,0.0,0.0,180,279.0,279.0,True,False,0.0,0.0,6.34,0.0
OSFJ12MC,Stealth Fighter Jig 1/2oz Money Craw,3.2,4.92,8.99,False,0.0,3.0,3.0,27.0,79.0,99.0,0.0,279.72,0.0,109.89,279.72,109.89,0.9642857142857143,0.8681318681318682,0.8681318681318682,3.5,0.1,180,174.0,171.0,True,False,9.6,0.0,6.14,8.82
